,[job_title],[location],[company],[senior_level]
1263,Data Scientist,National Security Agency,"Fort Meade, MD 20755",yes
1264,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
1265,"VP, Analytics & Data Science",Charles Schwab,"Austin, TX",yes
1266,VP of Data Science,Kar Global,"Chicago, IL",yes
1267,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1268,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1269,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1270,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1271,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1272,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1273,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1274,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1275,Director of Data Science Experience,DataRobot,"Boston, MA",yes
1276,Director of Data Science Initiative (new posting),Atlanta University Center Consortium,United States,yes
1277,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1278,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1279,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1280,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1281,Data Scientist,Alaska Airlines,"Seattle, WA 98194 (Downtown area)",yes
1282,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1283,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
1284,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1285,Sr. Data Scientist,Tuft & Needle,Remote,yes
1286,"Data Engineer, Retail Business Intelligence",Apple,"Austin, TX 78758 (North Austin area)",yes
1287,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1288,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1289,Data Science Senior Analyst,Toyota,"Plano, TX 75023",yes
1290,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1291,Senior Data Scientist - eCommerce,Walmart,"Sunnyvale, CA 94086",yes
1292,Senior Director - Data Science (NSRL),Nike,"Portland, OR 97218 (Cully area)",yes
1293,Director Data Science,LexisNexis SA,"Alpharetta, GA",yes
1294,Senior Analyst - Data Science Surveys Enabling Technologies,Abt Associates,"Durham, NC",yes
1295,"VP, Data Science",HBO Max,"New York, NY",yes
1296,Senior Data Scientist,1 Point System,"Atlanta, GA",yes
1297,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1298,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
1299,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1300,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1301,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1302,"Machine Learning /Artificial Intelligence - Product Analyst - Columbus, OH",JP Morgan Chase,"Columbus, OH 43240 (Far North area)",yes
1303,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1304,Data Scientist II,Bank of America,"Charlotte, NC 28255 (Wilmore area)",yes
1305,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1306,VP of Data Science,Piper Companies,"Arlington, VA 22201",yes
1307,Sr Data Scientist,Progrexion,"Salt Lake City, UT",yes
1308,Data Science Manager,Domino's,"Ann Arbor, MI 48106",yes
1309,SR Data Scientist,Little Caesars,"Detroit, MI",yes
1310,Sr Data Scientist,Progrexion Holdings Inc,"Salt Lake City, UT",yes
1311,Sr. Data Scientist,Microagility,"Columbus, OH",yes
1312,Sr. Data Scientist,Divish LLC,"Salt Lake City, UT",yes
1313,Data Science Engineer,Apple,"Austin, TX 78758 (North Austin area)",yes
